NAME	X	Y	AREA
SAimp_E-MH-684-2	1078027.107	1066005.958	0.25
SAimp_E-node-1574-2	1078028.414	1065104.912	0.406
Parking_3418-2	1078106.39	1066804.37	0.273
SAimp_E-MH-1687-2	1078126.687	1062041.597	0.144
SAimp_3418-2	1078141.39	1066779.37	0.254
SAimp_15527-2	1078177.982	1064372.277	0.275
Parking_E-MH-10525-1	1078199.429	1066578.16	0.44
SAimp_E-MH-713-2	1078207.237	1065267.098	0.719
SAimp_E-MH-10525-1	1078234.429	1066553.16	1.179
SAimp_E-MH-1687	1078238.533	1062176.645	0.286
SAimp_E-node-2112-1	1078269.118	1062383.174	0.191
SAimp_E-MH-684-1	1078283.65	1065987.132	0.212
SAimp_E-node-1574-1	1078284.391	1064835.261	0.203
SAimp_E-node-2108-2	1078304.549	1063668.319	1.155
SAimp_E-node-2112-3	1078308.941	1061804.934	0.209
SAimp_3307	1078330.816	1064697.356	0.169
SAimp_E-MH-1473-2	1078338.739	1065713.577	0.208
SAimp_E-MH-10525-2	1078399.587	1066262.72	0.738
SAimp_15527-1	1078415.817	1064298.842	1.137
SAimp_E-MH-1687-1	1078437.413	1062043.897	0.163
SAimp_E-node-2112-4	1078493.032	1062816.997	1.469
SAimp_KSWW9	1078499.769	1065295.781	3.821
SAimp_E-node-2112-5	1078537.773	1061172.188	1.758
SAimp_3418-1	1078542.216	1066772.633	0.509
SAimp_E-MH-1473-1	1078615.12	1065684.04	0.408
SAimp_E-MH-713-1	1078673.325	1064752.716	0.403
SAimp_E-MH-1798	1078677.018	1063118.782	0.567
SAimp_4060	1078678.271	1061233.5	2.971
SAimp_E-MH-20291	1078678.909	1063392.078	0.474
SAimp_4060-1	1078681.18	1062565.34	1.515
SAimp_E-MH-20290	1078685.012	1063778.776	1.077
SAimp_KSWW7	1078700.836	1064411.585	1.851
Parking_E-node-1536	1078783.016	1061672.124	0.111
SAimp_E-MH-10051	1078783.143	1061943.135	0.257
Parking_E-MH-10052	1078797.372	1061247.471	0.144
Parking_4392	1078804.162	1063269.459	0.221
SAimp_E-node-1538-1	1078808.11	1060901.004	0.253
SAimp_E-node-1536	1078818.016	1061647.124	0.178
SAimp_3465-2	1078818.842	1063467.893	0.181
SAimp_E-node-1537	1078819.144	1061407	0.118
SAimp_4312	1078819.275	1062253.303	0.245
SAimp_E-MH-1475	1078830.367	1062843.609	0.149
SAimp_E-MH-10052	1078832.372	1061222.471	0.193
SAimp_4339	1078832.475	1062546.096	0.122
SAimp_E-MH-1475-1	1078832.789	1063030.746	0.126
SAimp_4392	1078839.162	1063244.459	0.144
SAimp_KSWW6	1078856.34	1065073.174	1.03
SAimp_3465-1	1078882.679	1063847.781	0.919
Parking_SPP165B	1078886.253	1064647.922	0.242
SAimp_SPP165B	1078921.253	1064622.922	0.101
SAimp_E-MH-10379-1	1078939.674	1062697.056	0.275
SAimp_E-ADDED-E-12097-2-1	1078984.526	1064437.871	0.188
SAimp_4153-1	1078993.834	1064765.494	0.338
SAimp_E-MH-10038-2	1079002.066	1060151.443	0.175
Parking_E-MH-9974-1	1079005.061	1061888.136	0.246
SAimp_E-MH-9974-1	1079040.061	1061863.136	0.164
SAimp_E-MH-9974	1079049.42	1061715.261	0.191
SAimp_E-ADDED-E-12097-2-2	1079052.154	1064209.54	0.303
SAimp_E-node-1562-2	1079061.524	1063485.899	0.251
SAimp_3424	1079074.382	1066786.879	0.251
SAimp_E-MH-10379	1079082.914	1063069.72	0.354
SAimp_E-MH-9995	1079091.263	1060983.526	0.179
SAimp_E-MH-20286	1079107.349	1065574.28	1.314
SAimp_E-MH-10672-4	1079124.207	1067834.707	0.276
SAimp_E-MH-10005	1079179.83	1060648.335	0.65
Parking_4143-1	1079191.292	1064631.332	0.133
SAimp_E-MH-10672-3	1079191.427	1067367.957	0.239
SAimp_E-MH-10678	1079197.03	1066997.009	0.238
Parking_E-MH-1482-1	1079242.631	1063926.749	0.293
Parking_E-MH-9995-1	1079243.349	1061166.029	0.356
Parking_4066	1079253.413	1062117.204	0.123
Parking_3443	1079263.998	1062418.199	0.103
SAimp_E-MH-10005-2	1079273.853	1060820.945	0.396
SAimp_E-node-1562-1	1079275.452	1063647.059	0.151
SAimp_E-MH-1482-1	1079277.631	1063901.749	0.346
SAimp_E-MH-9995-1	1079278.349	1061141.029	0.344
SAimp_4066	1079288.413	1062092.204	0.963
SAimp_E-MH-9985-1	1079298.764	1061563.709	0.399
SAimp_3443	1079298.998	1062393.199	0.767
SAimp_E-MH-9985	1079317.509	1061384.065	0.339
Parking_4153	1079347.17	1065221.747	5.394
SAimp_E-MH-10672-1	1079358.292	1068109.042	0.229
SAimp_E-MH-10379-2	1079364.237	1062663.664	0.432
SAimp_E-MH-10005-1	1079375.555	1060421.42	0.272
SAimp_4153	1079382.17	1065196.747	0.326
Parking_E-MH-10038	1079448.821	1060099.392	0.421
SAimp_E-ADDED-E-3487-2-2	1079456.561	1063302.033	0.509
Parking_E-MH-10672-2	1079462.545	1067782.395	0.405
SAimp_E-node-2106-1	1079483.301	1061856.246	0.173
SAimp_E-MH-10038	1079483.821	1060074.392	1.743
Parking_12074	1079496.988	1067070.333	2.2
SAimp_E-MH-10672-2	1079497.545	1067757.395	0.546
SAimp_E-node-2106	1079498.395	1061705.279	0.219
SAimp_E-node-1538	1079531.297	1060974.5	0.16
SAimp_KSWW4	1079531.624	1065995.322	2.457
SAimp_12074	1079531.988	1067045.333	0.397
Parking_4143	1079575.988	1064787.688	0.543
Parking_12076	1079605.48	1066610.864	0.611
SAimp_4143	1079610.988	1064762.688	0.257
SAimp_12076	1079640.48	1066585.864	0.315
Parking_3482-1	1079648.287	1064272.281	0.113
SAimp_3482-1	1079683.287	1064247.281	1.617
