NAME	X	Y
Parking_4850	1080043.91900000000	1066877.66500000000
Parking_486	1065690.67700000000	1072711.43700000000
Parking_4876	1073208.24100000000	1062799.75400000000
Parking_4888	1073292.87100000000	1062450.58200000000
Parking_4888-1	1073662.38700000000	1062652.99300000000
Parking_489	1061426.42700000000	1073023.69600000000
Parking_4890	1073839.27100000000	1062028.33300000000
Parking_4890-1	1073559.92800000000	1062237.50000000000
Parking_4895	1073924.90400000000	1062259.05400000000
Parking_4919	1075688.78800000000	1062315.93400000000
Parking_4929	1073031.63000000000	1061212.12200000000
Parking_4935	1073235.12300000000	1060898.47200000000
Parking_4939-1	1072980.81600000000	1060272.90500000000
Parking_4945	1072892.04900000000	1059715.84000000000
Parking_4949-2	1073857.69000000000	1059198.29300000000
Parking_4974	1072162.06200000000	1058265.75300000000
Parking_4980	1071691.91400000000	1057797.22800000000
Parking_4980-1	1071912.16100000000	1057821.99300000000
Parking_5006	1072128.21400000000	1060028.64300000000
Parking_5056	1072398.74900000000	1058938.63400000000
Parking_5056-2	1072590.99000000000	1058637.60600000000
Parking_5079	1072007.20600000000	1058876.89300000000
Parking_5110-1	1075906.26300000000	1062599.01500000000
Parking_5110-3	1076100.52000000000	1063096.41400000000
Parking_5125	1074220.37100000000	1061148.20800000000
Parking_5181-1	1071764.38700000000	1063175.82400000000
Parking_5181-3	1072091.30300000000	1063271.53800000000
Parking_5184	1072244.24200000000	1064523.35000000000
Parking_5190	1071889.48900000000	1064468.42200000000
Parking_5206	1071679.17400000000	1063978.86500000000
Parking_5242	1071817.38300000000	1061908.42900000000
Parking_5242-1	1072041.34500000000	1061666.75100000000
Parking_5262-1	1075809.62300000000	1061609.53300000000
Parking_5268	1075254.25900000000	1060485.46100000000
Parking_5272	1075705.58900000000	1059962.82400000000
Parking_5280-1	1076338.93100000000	1058616.93600000000
Parking_5280-2	1075380.75400000000	1058859.86400000000
Parking_5280-3	1075552.73900000000	1058330.29400000000
Parking_5347-1	1077804.23800000000	1061462.29000000000
Parking_544	1065555.23700000000	1073380.87400000000
Parking_5449	1072538.03500000000	1058379.10100000000
Parking_5485	1062988.95900000000	1071887.17600000000
Parking_5488	1063043.15900000000	1069122.04400000000
Parking_5556	1063477.16600000000	1062939.59400000000
Parking_556	1063248.44200000000	1076692.89300000000
Parking_5562	1063950.75100000000	1062702.93600000000
Parking_5562-1	1064040.12200000000	1062393.43200000000
Parking_5620	1066467.74600000000	1066870.85700000000
Parking_5668	1069514.45700000000	1066930.70900000000
Parking_5670	1069745.49800000000	1066740.15900000000
Parking_5711-1	1064142.05200000000	1065261.32300000000
Parking_5711-10	1063713.24100000000	1061941.49500000000
Parking_5711-13	1063410.27700000000	1061824.06200000000
Parking_5711-14	1063415.77500000000	1061207.38600000000
Parking_5711-15	1063437.59500000000	1060502.64300000000
Parking_5711-16	1063469.72000000000	1062691.72800000000
Parking_5711-3	1063948.66000000000	1064813.59600000000
Parking_5711-4	1063919.19700000000	1065364.48600000000
Parking_5711-5	1063724.58700000000	1064142.04100000000
Parking_5711-6	1064024.30800000000	1064351.83900000000
Parking_5711-7	1063886.50600000000	1063885.68300000000
Parking_5711-8	1063806.08700000000	1063396.72600000000
Parking_5711-9	1063738.15400000000	1062705.70400000000
Parking_5765-2	1075258.70300000000	1065124.29900000000
Parking_5784	1069838.32600000000	1068204.96400000000
Parking_5784-1	1069791.90800000000	1068713.43400000000
Parking_5923-1	1064021.50800000000	1064070.71800000000
Parking_5929-2	1064790.91900000000	1064001.29100000000
Parking_5937	1066777.45700000000	1064085.46900000000
Parking_599	1066026.13900000000	1072316.22900000000
Parking_6000	1064627.94200000000	1069824.42100000000
Parking_6004	1065016.68500000000	1070041.70900000000
Parking_6004-1	1064489.17000000000	1070245.48900000000
