                0            1     2     3     4     5     6     7     8     9
230   1071117.431  1052808.904  36.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
231   1071120.132  1054203.636   6.0   2.0  31.0  13.0  12.0  13.0  17.0  79.0
232   1071122.321  1052959.903   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
233   1071122.608  1053257.040   6.0   2.0   2.0  61.0  26.0  94.0  17.0   8.0
234   1071133.646  1051394.463  36.0  59.0   7.0  41.0  11.0  86.0  39.0  30.0
235   1071140.885  1052284.989  36.0  85.0   7.0  41.0  11.0  79.0  18.0  64.0
236   1071147.822  1053918.361   6.0   2.0   2.0  13.0  12.0  13.0  17.0  79.0
237   1071155.132  1054178.636   6.0   2.0  31.0  13.0  12.0  13.0  17.0  79.0
238   1071157.086  1051855.330  36.0  59.0   7.0  41.0  11.0  39.0  18.0  64.0
239   1071157.608  1053232.040   6.0  85.0   2.0  61.0  26.0  94.0  17.0   8.0
240   1071159.638  1049974.109  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
241   1071172.902  1050222.972  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
242   1071182.822  1053893.361   6.0   2.0   2.0  13.0  12.0  13.0  17.0  79.0
243   1071192.086  1051830.330  36.0  59.0   7.0  41.0  11.0  39.0  18.0  64.0
244   1071197.804  1055037.249  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
245   1071208.511  1053455.274   6.0   2.0   2.0  61.0  26.0  94.0  17.0   8.0
246   1071232.804  1055012.249  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
247   1071259.400  1052744.134  36.0  85.0   2.0  61.0  26.0  79.0  18.0   8.0
248   1071268.968  1052063.997  36.0  59.0   7.0  41.0  11.0  79.0  18.0  64.0
249   1071272.222  1051608.089  36.0  59.0   7.0  41.0  11.0  86.0  18.0  30.0
250   1071276.585  1053186.716   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
251   1071285.934  1054666.570  34.0  61.0  31.0  54.0  12.0  88.0  32.0  40.0
252   1071286.531  1050608.054  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
253   1071287.381  1055887.804   0.0  27.0  20.0  67.0  39.0  27.0  47.0  10.0
254   1071294.400  1052719.134  36.0  85.0   2.0  61.0  26.0  79.0  18.0   8.0
255   1071299.466  1051844.876  36.0  59.0   7.0  41.0  11.0  86.0  18.0  64.0
256   1071305.065  1050313.478  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
257   1071305.647  1053667.442   6.0   2.0   2.0  61.0  26.0  94.0  32.0  79.0
258   1071311.585  1053161.716   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
259   1071320.934  1054641.570  34.0  61.0  31.0  54.0  12.0  88.0  32.0  40.0
260   1071321.531  1050583.054  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
261   1071322.381  1055862.804   0.0  27.0  20.0  67.0  39.0  27.0  47.0  10.0
262   1071333.416  1050811.324  44.0  40.0  32.0  11.0  11.0  11.0  39.0  30.0
263   1071334.466  1051819.876  36.0  59.0   7.0  41.0  11.0  86.0  18.0  64.0
264   1071340.647  1053642.442   6.0   2.0   2.0  61.0  26.0  94.0  32.0  79.0
265   1071368.416  1050786.324  44.0  40.0  32.0  11.0  11.0  11.0  39.0  30.0
266   1071372.758  1052974.402   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
267   1071384.770  1051227.960  44.0  59.0  32.0  59.0  11.0  86.0  39.0  30.0
268   1071416.138  1053128.241   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
269   1071418.881  1052554.189  36.0  85.0   7.0  41.0  26.0  79.0  18.0   8.0
270   1071425.135  1051031.874  44.0  59.0  32.0  11.0  11.0  86.0  39.0  30.0
271   1071449.218  1054198.256  34.0   2.0  31.0  13.0  12.0  88.0  32.0  79.0
272   1071453.881  1052529.189  36.0  85.0   7.0  41.0  26.0  79.0  18.0   8.0
273   1071460.135  1051006.874  44.0  59.0  32.0  11.0  11.0  86.0  39.0  30.0
274   1071484.218  1054173.256  34.0   2.0  31.0  13.0  12.0  88.0  32.0  47.0
275   1071490.921  1054532.088  34.0  99.0  31.0  54.0  12.0  88.0  32.0  47.0
276   1071493.209  1052278.184  36.0  85.0   7.0  41.0  43.0  79.0  18.0  64.0
277   1071514.355  1053485.048   6.0   2.0   2.0  61.0  26.0  94.0  32.0   8.0
278   1071521.432  1053956.301   6.0   2.0  31.0  61.0  12.0  88.0  32.0  79.0
279   1071528.209  1052253.184  36.0  85.0   7.0  41.0  43.0  79.0  18.0  64.0
280   1071530.558  1055190.236  34.0  27.0  31.0  54.0  12.0  27.0  47.0  40.0
281   1071531.451  1050084.503  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
282   1071542.682  1051518.261  36.0  59.0  48.0  59.0  11.0  86.0  16.0  30.0
